country,days.to.peak.mortality,peak.or.no.mortality,days.to.peak.case,peak.or.no.case,early.mortality,early.mortality.growth,early.case,early.case.growth,peak.mortality,peak.case,peak.new.mortality,peak.new.case,log.peak.mortality.to.duration,log.peak.case.to.duration,early.stringency,stringency.growth.to.max,peak.stringency,early.mobility.walking,prop65,propurban,popdensity,vul_emp,health_exp,GNI,pollution,Latitude,Longitude,EIU_Democracy,freedom_house,stringent
Hungary,40,1,40,1,1.77456E-07,1.386294361,5.1758E-07,1.504077397,2.21672E-05,0.000119191,1.56753E-06,1.05586E-05,-0.334150287,-0.286464191,11.11,5.179230769,78.44,106.3457143,19.157725,71.351,107.9066055,6.024000153,981.4230347,14780,15.92604819,47.162494,19.503304,47.162494,70,SI<19
Iceland,6,1,34,1,4.60492E-06,0.336472237,3.43276E-05,3.526360525,3.76766E-06,0.003195395,2.9304E-06,0.000216431,-2.123395104,-0.248183468,11.11,1.167058824,50.79,94.21285714,14.795093,93.813,3.526922693,8.107999831,6086.311523,67960,6.481147263,64.963051,-19.020835,64.963051,94,SI<19
India,48,1,90,0,1.34575E-09,1.098612289,1.44927E-09,1.098612289,6.04035E-07,1.96322E-05,3.75775E-08,1.20217E-06,-0.35618458,-0.151459802,9.352857143,8.240649351,100,103.1685714,6.179956,34.03,454.9380726,74.26999855,69.29309845,2020,90.87321047,20.593684,78.96288,20.593684,71,SI<19
Indonesia,34,1,58,0,1.35794E-08,1.609437912,1.14903E-08,1.098612289,1.24513E-06,3.17352E-05,1.24304E-07,1.27533E-06,-0.467662883,-0.234005246,20.51857143,1.205487013,73.56,98.64428571,5.857166,55.325,147.7521901,47.8949995,114.9717865,3840,16.5026533,-0.789275,113.921327,-0.789275,61,SI>19
Ireland,45,1,47,1,3.18245E-07,0.693147181,1.0126E-06,2.890371758,0.000163954,0.002158742,1.42342E-05,0.000193753,-0.247996913,-0.181892018,9.975714286,2.994395604,87.83,149.6842857,13.865802,63.17,70.45298302,10.6099996,4976.862305,61390,8.208576735,53.41291,-8.24389,53.41291,97,SI<19
Israel,29,1,42,1,5.11646E-07,2.48490665,1.65047E-07,1.098612289,1.64717E-05,0.000632064,1.13882E-06,7.25052E-05,-0.471914272,-0.226948875,30.95142857,1.88994898,83.87,39.62857143,11.976986,92.418,410.5268022,8.267999947,3144.626221,40920,21.38110224,31.046051,34.851612,31.046051,76,SI>19
Italy,41,1,55,1,1.22864E-07,2.833213344,3.30787E-08,0,0.000191443,0.001058082,1.34678E-05,9.34568E-05,-0.273541743,-0.168691106,19.44,2.636071429,93.25,148.5714286,22.75168,70.438,205.4507479,16.86599994,2840.130615,33730,16.75071194,41.87194,12.56738,41.87194,89,SI>19
Japan,71,1,86,1,7.90661E-09,0,3.16264E-08,-1.029619417,2.1585E-06,6.6158E-05,1.75075E-07,4.84675E-06,-0.21912749,-0.142293044,10.71285714,0.632299107,51.18,130.1171429,27.57637,91.616,347.0734584,8.306999922,4168.986328,41310,11.70477819,36.204824,138.252924,36.204824,96,SI<19
Jordan,3,1,25,1,3.50032E-07,1.609437912,9.8009E-08,0,1.40013E-07,1.76136E-05,7.00065E-08,2.25421E-06,-5.491559437,-0.520108474,43.25571429,2.026581633,100,,3.84649,90.979,112.1424983,9.201999754,340.6618042,4200,33.00608118,30.585164,36.238414,30.585164,37,SI>19
"Korea, South",39,1,41,1,1.14243E-07,2.48490665,5.57283E-08,-0.84729786,2.70282E-06,7.28118E-05,1.30961E-07,1.21488E-05,-0.406368281,-0.276055688,31.35,0.784482759,76.85,80.03857143,14.418556,81.459,529.6521036,19.04099965,2283.074707,30600,25.03942539,35.907757,127.766922,35.907757,83,SI>19
