COUNTRY,X1,Date,Total_Case_Country,Total_Death_Country,New_Case_Country,New_Death_Country,Population,Total_Case_Rate,risktaking,Total_Mortality_Rate,New_Mortality_Rate,posrecip,RollingAverage_New_Case_Country,negrecip,RollingAverage_New_Death_Country,altruism,trust,RollingAverage_Total_Mortality_Rate,RollingAverage_New_Mortality_Rate,EIU_Democracy,longitude,C1_School.closing,C1_Flag,C2_Workplace.closing,C2_Flag,C3_Cancel.public.events,C3_Flag,C4_Restrictions.on.gatherings,C4_Flag,C5_Close.public.transport,C5_Flag,C6_Stay.at.home.requirements,C6_Flag,C7_Restrictions.on.internal.movement,C7_Flag,C8_International.travel.controls,E1_Income.support,E1_Flag,E2_Debt.contract.relief,E3_Fiscal.measures,H1_Public.information.campaigns,H1_Flag,H2_Testing.policy,H3_Contact.tracing,H4_Emergency.investment.in.healthcare,H5_Investment.in.vaccines,M1_Wildcard,StringencyIndex,LegacyStringencyIndex,Oxford_Cases,Oxford_Deaths,Latitude,Longitude,prop65,propurban,popdensity,driving,walking,transit,arrivals,departures,vul_emp,GNI,health_exp,pollution,EUI_democracy,freedom_house,cellular_sub,milex,milper,irst,pec,cinc,endocrine_deaths,blood_pressure_deaths,respiratory_deaths,govt_accountability,political_stability,govt_effectiveness,regulatory_quality,rule_of_law,control_of_corruption,isocode,patience,wm.trust,New_Case_Rate,RollingAverage_Total_Case_Country,RollingAverage_Total_Death_Country,RollingAverage_Total_Case_Rate,RollingAverage_New_Case_Rate,Total_Mortality_Rate_Growth,respiratory_deaths_rate
Argentina,34,2020-01-17,,,,,,,0.041503169,,,0.159679309,,-0.140457273,,0.027346682,-0.206733331,,,,,0,,0,,0,,,,0,,,,0,,0,,,,0,0,,0,0,0,0,,0,0,,,-38.416097,-63.616672,11.117789,91.87,16.2585101,118.45,116.72,,6942000,11130000,21.80499911,12390,1324.603516,13.31183395,7.02,85,132.0931513,4858000,73,4995,129377,0.0056534,,9256,186220,0.57,0.02,0.03,-0.24,-0.24,-0.08,ARG,-0.229307979,-0.022746338,,,,,,,
Argentina,35,2020-01-18,,,,,,,0.041503169,,,0.159679309,,-0.140457273,,0.027346682,-0.206733331,,,,,0,,0,,0,,,,0,,,,0,,0,,,,0,0,,0,0,0,0,,0,0,,,-38.416097,-63.616672,11.117789,91.87,16.2585101,124.01,114.14,,6942000,11130000,21.80499911,12390,1324.603516,13.31183395,7.02,85,132.0931513,4858000,73,4995,129377,0.0056534,,9256,186220,0.57,0.02,0.03,-0.24,-0.24,-0.08,ARG,-0.229307979,-0.022746338,,,,,,,
Argentina,36,2020-01-19,,,,,,,0.041503169,,,0.159679309,,-0.140457273,,0.027346682,-0.206733331,,,,,0,,0,,0,,,,0,,,,0,,0,,,,0,0,,0,0,0,0,,0,0,,,-38.416097,-63.616672,11.117789,91.87,16.2585101,95.44,84.54,,6942000,11130000,21.80499911,12390,1324.603516,13.31183395,7.02,85,132.0931513,4858000,73,4995,129377,0.0056534,,9256,186220,0.57,0.02,0.03,-0.24,-0.24,-0.08,ARG,-0.229307979,-0.022746338,,,,,,,
Argentina,37,2020-01-20,,,,,,,0.041503169,,,0.159679309,,-0.140457273,,0.027346682,-0.206733331,,,,,0,,0,,0,,,,0,,,,0,,0,,,,0,0,,0,0,0,0,,0,0,,,-38.416097,-63.616672,11.117789,91.87,16.2585101,95.13,101.37,,6942000,11130000,21.80499911,12390,1324.603516,13.31183395,7.02,85,132.0931513,4858000,73,4995,129377,0.0056534,,9256,186220,0.57,0.02,0.03,-0.24,-0.24,-0.08,ARG,-0.229307979,-0.022746338,,,,,,,
Argentina,51,2020-01-21,,,,,,,0.041503169,,,0.159679309,,-0.140457273,,0.027346682,-0.206733331,,,,,0,,0,,0,,,,0,,,,0,,0,,,,0,0,,0,0,0,0,,0,0,,,-38.416097,-63.616672,11.117789,91.87,16.2585101,95.42,106.12,,6942000,11130000,21.80499911,12390,1324.603516,13.31183395,7.02,85,132.0931513,4858000,73,4995,129377,0.0056534,,9256,186220,0.57,0.02,0.03,-0.24,-0.24,-0.08,ARG,-0.229307979,-0.022746338,,,,,,,
Argentina,11,2020-01-22,,,,,,,0.041503169,,,0.159679309,,-0.140457273,,0.027346682,-0.206733331,,,,,0,,0,,0,,,,0,,,,0,,0,,,,0,0,,0,0,0,0,,0,0,,,-38.416097,-63.616672,11.117789,91.87,16.2585101,97.66,104.91,,6942000,11130000,21.80499911,12390,1324.603516,13.31183395,7.02,85,132.0931513,4858000,73,4995,129377,0.0056534,,9256,186220,0.57,0.02,0.03,-0.24,-0.24,-0.08,ARG,-0.229307979,-0.022746338,,,,,,,
Argentina,40,2020-01-23,0,0,0,0,45195777,0,0.041503169,0,0,0.159679309,0,-0.140457273,0,0.027346682,-0.206733331,0,0,-38.416097,-63.616672,0,,0,,0,,,,0,,,,0,,0,,,,0,2,1,0,0,0,0,,11.11,14.29,,,-38.416097,-63.616672,11.117789,91.87,16.2585101,99.42,102.56,,6942000,11130000,21.80499911,12390,1324.603516,13.31183395,7.02,85,132.0931513,4858000,73,4995,129377,0.0056534,,9256,186220,0.57,0.02,0.03,-0.24,-0.24,-0.08,ARG,-0.229307979,-0.022746338,0,0,0,0,0,,0.001373432
Argentina,41,2020-01-24,0,0,0,0,45195777,0,0.041503169,0,0,0.159679309,0,-0.140457273,0,0.027346682,-0.206733331,0,0,-38.416097,-63.616672,0,,0,,0,,,,0,,,,0,,0,,,,0,2,1,0,0,0,0,,11.11,14.29,,,-38.416097,-63.616672,11.117789,91.87,16.2585101,113.34,104.88,,6942000,11130000,21.80499911,12390,1324.603516,13.31183395,7.02,85,132.0931513,4858000,73,4995,129377,0.0056534,,9256,186220,0.57,0.02,0.03,-0.24,-0.24,-0.08,ARG,-0.229307979,-0.022746338,0,0,0,0,0,,0.001373432
Argentina,42,2020-01-25,0,0,0,0,45195777,0,0.041503169,0,0,0.159679309,0,-0.140457273,0,0.027346682,-0.206733331,0,0,-38.416097,-63.616672,0,,0,,0,,,,0,,,,0,,0,,,,0,2,1,0,0,0,0,,11.11,14.29,,,-38.416097,-63.616672,11.117789,91.87,16.2585101,118.23,98.83,,6942000,11130000,21.80499911,12390,1324.603516,13.31183395,7.02,85,132.0931513,4858000,73,4995,129377,0.0056534,,9256,186220,0.57,0.02,0.03,-0.24,-0.24,-0.08,ARG,-0.229307979,-0.022746338,0,0,0,0,0,,0.001373432
Argentina,43,2020-01-26,0,0,0,0,45195777,0,0.041503169,0,0,0.159679309,0,-0.140457273,0,0.027346682,-0.206733331,0,0,-38.416097,-63.616672,0,,0,,0,,,,0,,,,0,,0,,,,0,2,1,0,0,0,0,,11.11,14.29,,,-38.416097,-63.616672,11.117789,91.87,16.2585101,91.31,73.64,,6942000,11130000,21.80499911,12390,1324.603516,13.31183395,7.02,85,132.0931513,4858000,73,4995,129377,0.0056534,,9256,186220,0.57,0.02,0.03,-0.24,-0.24,-0.08,ARG,-0.229307979,-0.022746338,0,0,0,0,0,,0.001373432
Argentina,44,2020-01-27,0,0,0,0,45195777,0,0.041503169,0,0,0.159679309,0,-0.140457273,0,0.027346682,-0.206733331,0,0,-38.416097,-63.616672,0,,0,,0,,,,0,,,,0,,0,,,,0,2,1,0,0,0,0,,11.11,14.29,,,-38.416097,-63.616672,11.117789,91.87,16.2585101,93.37,94.27,,6942000,11130000,21.80499911,12390,1324.603516,13.31183395,7.02,85,132.0931513,4858000,73,4995,129377,0.0056534,,9256,186220,0.57,0.02,0.03,-0.24,-0.24,-0.08,ARG,-0.229307979,-0.022746338,0,0,0,0,0,,0.001373432
Argentina,45,2020-01-28,0,0,0,0,45195777,0,0.041503169,0,0,0.159679309,0,-0.140457273,0,0.027346682,-0.206733331,0,0,-38.416097,-63.616672,0,,0,,0,,,,0,,,,0,,0,,,,0,2,1,0,0,0,0,,11.11,14.29,,,-38.416097,-63.616672,11.117789,91.87,16.2585101,91.12,93.86,,6942000,11130000,21.80499911,12390,1324.603516,13.31183395,7.02,85,132.0931513,4858000,73,4995,129377,0.0056534,,9256,186220,0.57,0.02,0.03,-0.24,-0.24,-0.08,ARG,-0.229307979,-0.022746338,0,0,0,0,0,,0.001373432
