country,days.to.peak.mortality,peak.or.no.mortality,days.to.peak.case,peak.or.no.case,early.mortality,early.mortality.growth,early.case,early.case.growth,peak.cum.mortality,peak.cum.case,peak.new.mortality,peak.new.case,log.peak.mortality.to.duration,log.peak.case.to.duration,early.stringency.average,early.stringency.sum,log.early.stringency.sum,how.early.stringency,stringency.delta,peak.stringency,early.mobility.walking,prop65,propurban,popdensity,vul_emp,health_exp,GNI,pollution,Latitude,Longitude,EIU_Democracy,stringent
Greece,24,1,36,1,4.79706E-07,1.609437912,6.71588E-07,1.945910149,6.524E-06,0.000148133,4.93412E-07,8.93623E-06,-0.605080085,-0.322927678,3.605571429,252.39,5.53097551,15,1.50245283,90.74,109.5057143,21.655272,79.058,83.22473235,25.79600072,1516.587769,19770,16.21826638,39.074208,21.824312,7.43,SI<7.77
Hungary,40,1,40,1,4.14064E-07,1.386294361,9.31643E-07,1.504077397,2.71212E-05,0.000150926,1.56753E-06,1.05586E-05,-0.334150287,-0.286464191,4.836216216,357.88,5.880197735,16,2.45862069,78.44,106.3457143,19.157725,71.351,107.9066055,6.024000153,981.4230347,14780,15.92604819,47.162494,19.503304,6.63,SI<7.77
Iceland,6,1,34,1,2.9304E-06,0.336472237,9.96337E-05,3.526360525,2.9304E-06,0.003865201,2.9304E-06,0.000216431,-2.123395104,-0.248183468,7.592837838,561.87,6.331270506,52,0.498255814,50.79,94.21285714,14.795093,93.813,3.526922693,8.107999831,6086.311523,67960,6.481147263,64.963051,-19.020835,9.58,SI<7.77
India,48,1,90,0,2.17391E-09,1.098612289,2.17391E-09,1.098612289,7.30432E-07,,3.75775E-08,1.20217E-06,-0.35618458,-0.151459802,5.896142857,412.73,6.022793626,45,1.688928571,100,103.1685714,6.179956,34.03,454.9380726,74.26999855,69.29309845,2020,90.87321047,20.593684,78.96288,6.9,SI<7.77
Indonesia,34,1,58,0,1.828E-08,1.609437912,2.19359E-08,1.098612289,1.6781E-06,,1.24304E-07,1.27533E-06,-0.467662883,-0.234005246,15.90071429,1113.05,7.014859274,56,0.7078,73.56,98.64428571,5.857166,55.325,147.7521901,47.8949995,114.9717865,3840,16.5026533,-0.789275,113.921327,6.48,SI>7.77
Ireland,45,1,47,1,4.05039E-07,0.693147181,3.64535E-06,2.890371758,0.000215278,0.002687636,1.42342E-05,0.000193753,-0.247996913,-0.181892018,4.295857143,300.71,5.706146345,36,1.301451613,87.83,149.6842857,13.865802,63.17,70.45298302,10.6099996,4976.862305,61390,8.208576735,53.41291,-8.24389,9.24,SI<7.77
Israel,29,1,42,1,1.3864E-06,2.48490665,3.46599E-07,1.098612289,1.98717E-05,0.000858179,1.13882E-06,7.25052E-05,-0.471914272,-0.226948875,16.242875,1299.43,7.169680986,54,0.974390244,83.87,39.62857143,11.976986,92.418,410.5268022,8.267999947,3144.626221,40920,21.38110224,31.046051,34.851612,7.86,SI>7.77
Italy,41,1,55,1,2.81169E-07,2.833213344,3.30787E-08,0,0.000230145,0.001332891,1.34678E-05,9.34568E-05,-0.273541743,-0.168691106,8.549607843,436.03,6.077711048,29,1.587192982,93.25,148.5714286,22.75168,70.438,205.4507479,16.86599994,2840.130615,33730,16.75071194,41.87194,12.56738,7.52,SI>7.77
Japan,71,1,86,1,7.90661E-09,0,5.53463E-08,-1.029619417,2.72778E-06,8.14065E-05,1.75075E-07,4.84675E-06,-0.21912749,-0.142293044,5.23372093,225.05,5.4163226,37,0.479207921,51.18,130.1171429,27.57637,91.616,347.0734584,8.306999922,4168.986328,41310,11.70477819,36.204824,138.252924,7.99,SI<7.77
Jordan,3,1,25,1,4.90045E-07,1.609437912,9.8009E-08,0,4.90045E-07,2.41102E-05,7.00065E-08,2.25421E-06,-5.491559437,-0.520108474,11.92790698,1025.8,6.933228075,24,1.709423077,100,,3.84649,90.979,112.1424983,9.201999754,340.6618042,4200,33.00608118,30.585164,36.238414,3.93,SI>7.77
