iso_o,iso_d,contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces
ABW,DNK,0,0,0,0,0,0,0,0,8408.5898,8408.5898,8331.917370068359,8331.029084350876
ABW,DOM,0,1,0,0,0,0,0,0,663.0993,663.0993,699.2701452713012,695.8729381043667
ABW,DZA,0,0,0,0,0,0,0,0,7686.4067,7686.4067,7710.016822094726,7701.793287396245
ABW,ECU,0,1,0,0,0,0,0,0,1698.3993,1698.3993,1873.770440740967,1863.843658328981
ABW,EGY,0,0,1,0,0,0,0,0,10383.609,10383.609,10362.26580549316,10361.41077242691
ABW,ERI,0,0,1,0,0,0,0,0,11620.09,11620.09,11668.22375656738,11666.29451964386
ABW,ESH,0,0,0,0,0,0,0,0,6124.0127,6124.0127,6084.671166003418,6081.951393459902
ABW,ESP,0,1,0,0,0,0,0,0,7121.5244,7121.5244,7186.835199414062,7171.043879648697
ABW,EST,0,0,0,0,0,0,0,0,9088.5117,9088.5117,9140.628730932616,9140.022392651766
ABW,ETH,0,0,0,0,0,0,0,0,11817.333,11817.333,11800.58828867188,11799.44971001522
ABW,FIN,0,0,0,0,0,0,0,0,9087.5635,9087.5635,9056.37346796875,9055.602031257582
ABW,FJI,0,0,1,0,0,0,0,0,12692.412,12692.412,12718.2377869873,12717.94746337616
ABW,FLK,0,0,1,0,0,0,0,0,7248.1436,7248.1436,7245.113193640136,7244.385526410261
ABW,FRA,0,0,0,0,0,0,0,0,7685.8838,7685.8838,7716.751836889648,7711.830087640176
ABW,FRO,0,0,0,0,0,0,0,0,7410.5073,7410.5073,7411.007624829102,7410.993986396264
ABW,FSM,0,0,1,0,0,0,0,0,14263.712,14263.712,14778.64115717773,14760.91781508416
ABW,GAB,0,0,0,0,0,0,0,0,8868.9268,8868.9268,8929.760926098632,8927.159094642102
ABW,GBR,0,0,1,0,0,0,0,0,7541.2427,7541.2427,7480.796475195312,7479.964233099798
ABW,GEO,0,0,0,0,0,0,0,0,11056.94,11056.94,10965.28104509277,10963.9694208412
ABW,GHA,0,0,1,0,0,0,0,0,7697.9443,7697.9443,7620.655882006836,7619.561448789884
ABW,GIB,0,1,1,0,0,0,0,0,6937.0156,6937.0156,6930.323544750976,6930.323146724505
ABW,GIN,0,0,0,0,0,0,0,0,5940.8125,5940.8125,6247.763073535156,6242.909293555655
ABW,GLP,0,0,0,0,0,0,0,0,980.5495,980.5495,999.6448754302978,999.3907147593159
ABW,GMB,0,0,1,0,0,0,0,0,5785.5024,5785.5024,5805.38984152832,5804.387900975385
ABW,GNB,0,0,0,0,0,0,0,0,5912.7358,5912.7358,5917.131877770996,5916.900768373785
ABW,GNQ,0,1,0,0,0,0,0,0,8721.6025,8721.6025,8801.053465380859,8799.838462681124
ABW,GRC,0,0,0,0,0,0,0,0,9491.1572,9491.1572,9457.369695361327,9456.785812822496
ABW,GRD,0,0,1,0,0,0,0,0,911.34802,911.34802,902.1114632202148,902.0080265173666
ABW,GRL,0,0,0,0,0,0,0,0,5921.0059,5921.0059,6174.272165246582,6151.55553014866
ABW,GTM,0,1,0,0,0,0,0,0,2220.0676,2220.0676,2252.725524816894,2251.408524910505
ABW,GUF,0,0,0,0,0,0,0,0,2128.7905,2128.7905,2061.801390631103,2057.798990235847
